,proper_name,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,year,gender,party_group,government,age,speeches_count
53176,Stephen Crabb,11,15,0,3,2,6,12,0,2017,Male,Conservative,True,44.0,49
53225,Stephen Doughty,40,66,44,2,21,16,9,25,2017,Male,Labour,False,36.0,223
53448,Stephen Gethins,9,78,35,1,7,9,6,4,2017,Male,SNP,False,40.0,149
53597,Stephen Hammond,8,13,8,0,4,1,21,10,2017,Male,Conservative,True,54.0,65
53662,Stephen Hepburn,0,1,2,0,1,1,1,7,2017,Male,Labour,False,57.0,13
53675,Stephen Kerr,13,34,22,12,14,18,20,19,2017,Male,Conservative,True,56.0,152
53827,Stephen Kinnock,6,44,9,2,1,3,11,3,2017,Male,Labour,False,47.0,79
53906,Stephen Lloyd,5,1,13,8,1,10,1,10,2017,Male,Liberal Democrat,False,60.0,49
53955,Stephen McCabe,5,7,6,2,8,8,4,26,2017,Male,Labour,False,61.0,66
54021,Stephen McPartland,1,0,0,2,2,2,1,5,2017,Male,Conservative,True,40.0,13
54034,Stephen Metcalfe,2,0,1,0,4,1,9,1,2017,Male,Conservative,True,51.0,18
54052,Stephen Morgan,0,0,0,0,0,1,1,4,2017,Male,Labour,False,36.0,6
54058,Stephen Pound,5,5,16,1,4,30,0,0,2017,Male,Labour,False,68.0,61
54119,Stephen Rotheram,1,0,4,0,1,0,0,0,2017,Male,Labour,False,55.0,6
54125,Stephen Timms,26,61,10,29,17,5,5,10,2017,Male,Labour,False,61.0,163
54288,Stephen Twigg,38,0,9,1,9,1,9,12,2017,Male,Labour,False,50.0,79
54367,Steve Brine,20,0,11,1,55,16,6,48,2017,Male,Conservative,True,43.0,157
54524,Steve Double,4,7,3,3,6,6,32,10,2017,Male,Conservative,True,50.0,71
54595,Steve Reed,9,1,4,1,7,9,0,10,2017,Male,Labour,False,53.0,41
54636,Steven Baker,9,117,60,2,82,15,20,6,2017,Male,Conservative,True,45.0,311
54947,Steven Paterson,3,11,1,2,3,2,1,3,2017,Male,SNP,False,41.0,26
54973,Stewart Hosie,0,8,1,4,10,2,6,21,2017,Male,SNP,False,54.0,52
55025,Stewart Jackson,6,1,8,1,10,6,11,14,2017,Male,Conservative,True,51.0,57
55082,Stewart McDonald,10,9,33,9,2,16,3,4,2017,Male,SNP,False,30.0,86
55168,Stuart Andrew,0,4,1,0,1,2,5,1,2017,Male,Conservative,True,45.0,14
55182,Stuart Donaldson,2,2,1,0,0,1,1,0,2017,Male,SNP,False,25.0,7
55189,Stuart McDonald,18,22,2,6,3,4,6,7,2017,Male,SNP,False,38.0,68
55257,Sue Hayman,2,8,3,0,1,2,6,6,2017,Female,Labour,False,54.0,28
55285,Suella Fernandes,5,30,4,0,10,6,9,10,2017,Female,Conservative,True,36.0,74
55359,Susan Elan Jones,0,8,4,1,1,19,5,3,2017,Female,Labour,False,48.0,41
55400,Sylvia Hermon,18,68,28,2,12,3,0,4,2017,Female,Other,False,62.0,135
55535,Tania Mathias,11,4,1,1,1,7,5,4,2017,Female,Conservative,True,52.0,34
55569,Tanmanjeet Singh Dhesi,3,7,2,1,4,5,3,5,2017,Male,Labour,False,38.0,30
55599,Tasmina Ahmed-Sheikh,21,31,5,3,3,10,6,2,2017,Female,SNP,False,46.0,81
55680,Teresa Pearce,1,0,1,0,2,0,1,1,2017,Female,Labour,False,62.0,6
55686,Thangam Debbonaire,16,9,4,2,5,8,5,5,2017,Female,Labour,False,50.0,54
55740,Thelma Walker,3,0,0,1,0,3,0,13,2017,Female,Labour,False,60.0,20
55760,Theresa May,164,715,114,26,312,86,145,250,2017,Female,Conservative,True,60.0,1812
57572,Theresa Villiers,18,17,2,3,7,2,33,8,2017,Female,Conservative,True,48.0,90
57662,Therese Coffey,1,7,3,0,25,8,47,6,2017,Female,Conservative,True,45.0,97
57759,Thomas Tugendhat,27,10,21,0,19,26,15,6,2017,Male,Conservative,True,43.0,124
57883,Tim Farron,16,34,12,2,2,16,8,6,2017,Male,Liberal Democrat,False,46.0,96
57979,Tim Loughton,19,8,8,12,14,15,8,15,2017,Male,Conservative,True,54.0,99
58078,Tobias Ellwood,98,6,34,0,33,15,12,9,2017,Male,Conservative,True,50.0,207
58285,Toby Perkins,12,10,8,4,10,11,3,12,2017,Male,Labour,False,46.0,70
58355,Tom Blenkinsop,6,1,0,2,0,1,8,1,2017,Male,Labour,False,36.0,19
58374,Tom Brake,36,92,50,10,53,12,16,20,2017,Male,Liberal Democrat,False,54.0,289
58663,Tom Elliott,3,13,2,1,3,3,1,1,2017,Male,Other,False,53.0,27
58690,Tom Pursglove,19,14,10,2,25,22,45,15,2017,Male,Conservative,True,28.0,152
58842,Tom Watson,1,2,9,0,4,2,0,1,2017,Male,Labour,False,50.0,19
58861,Tommy Sheppard,11,38,10,2,4,4,0,9,2017,Male,SNP,False,57.0,78
58939,Tonia Antoniazzi,0,2,1,0,1,3,5,3,2017,Female,Labour,False,45.0,15
58954,Tony Lloyd,23,5,5,0,5,14,8,13,2017,Male,Labour,False,67.0,73
59027,Tracey Crouch,5,1,8,1,45,33,11,5,2017,Female,Conservative,True,41.0,109
59136,Tracy Brabin,17,0,5,16,2,16,4,15,2017,Female,Labour,False,55.0,75
59211,Tristram Hunt,0,0,0,0,0,1,0,0,2017,Male,Labour,False,42.0,1
59212,Trudy Harrison,2,0,3,0,0,1,4,2,2017,Female,Conservative,True,41.0,12
59224,Tulip Siddiq,9,6,1,0,0,5,0,4,2017,Female,Labour,False,34.0,25
59249,Valerie Vaz,2,3,75,1,7,12,0,3,2017,Female,Labour,False,62.0,103
59352,Vernon Coaker,12,14,15,1,8,21,4,13,2017,Male,Labour,False,63.0,88
