,proper_name,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,year,gender,party_group,government,age,speeches_count
59440,Vicky Ford,15,31,21,3,17,7,25,17,2017,Female,Conservative,True,49.0,136
59576,Vicky Foxcroft,12,5,4,2,8,5,1,5,2017,Female,Labour,False,39.0,42
59618,Victoria Atkins,21,9,12,2,4,21,12,15,2017,Female,Conservative,True,40.0,96
59714,Victoria Borwick,1,0,1,2,7,0,2,1,2017,Female,Conservative,True,60.0,14
59728,Victoria Prentis,17,6,5,3,9,18,8,3,2017,Female,Conservative,True,45.0,69
59797,Vince Cable,2,11,2,0,4,1,10,12,2017,Male,Liberal Democrat,False,74.0,42
59839,Virendra Sharma,8,3,2,4,0,4,3,4,2017,Male,Labour,False,69.0,28
59867,Wayne David,5,14,12,1,3,1,4,10,2017,Male,Labour,False,59.0,50
59917,Wendy Morton,34,13,19,4,39,30,36,13,2017,Female,Conservative,True,49.0,188
60105,Wera Hobhouse,17,45,24,3,12,12,7,19,2017,Female,Liberal Democrat,False,57.0,139
60244,Wes Streeting,19,35,32,2,8,17,9,54,2017,Male,Labour,False,33.0,176
60420,Will Quince,23,9,2,4,6,13,5,5,2017,Male,Conservative,True,34.0,67
60487,William Wragg,1,16,3,1,4,2,11,4,2017,Male,Conservative,True,29.0,42
60529,Yasmin Qureshi,22,0,7,3,5,2,0,3,2017,Female,Labour,False,53.0,42
60571,Yvette Cooper,36,59,12,1,12,7,1,7,2017,Female,Labour,False,47.0,135
60706,Yvonne Fovargue,1,0,0,2,0,2,2,5,2017,Female,Labour,False,60.0,12
60718,Zac Goldsmith,5,11,5,0,3,3,6,1,2017,Male,Conservative,True,42.0,34
